"","subject","trial","vocoded","mean_pupil"
"360","EYE_16",66,"V6",0.0309693643481692
"361","EYE_16",67,"V6",-0.0137756302277865
"362","EYE_16",68,"V6",0.0115944723576638
"363","EYE_16",69,"NS",0.00613418502716593
"364","EYE_16",70,"NS",0.0761933867015222
"365","EYE_16",71,"NS",-0.0259576401676852
"366","EYE_16",72,"NS",-0.0251053857451706
"367","EYE_16",73,"NS",-0.0133305197983627
"368","EYE_16",74,"NS",-0.0214634637016051
"369","EYE_16",75,"NS",0.0294294504420584
"370","EYE_16",76,"NS",0.00393092881030427
"371","EYE_16",77,"NS",-0.0306528309568295
"372","EYE_16",78,"NS",0.0429790722610435
"373","EYE_16",79,"NS",-0.0128131526311058
"374","EYE_16",80,"NS",0.0285325361846233
"375","EYE_16",81,"NS",0.0447623713338056
"376","EYE_16",82,"NS",0.0026904305983913
"377","EYE_16",83,"NS",0.0596520551100403
"378","EYE_16",84,"NS",-0.00997783819217287
"379","EYE_16",85,"NS",-0.0418419648646323
"380","EYE_16",86,"NS",0.0286808344029507
"381","EYE_16",87,"NS",-0.0206885406915059
"382","EYE_16",88,"NS",-0.0124735878055903
"383","EYE_16",89,"NS",0.00302127346677296
"384","EYE_16",90,"NS",-0.0106332927340728
"385","EYE_16",91,"NS",-0.0648404345376787
"386","EYE_16",92,"NS",0.0164198667035888
"387","EYE_16",93,"NS",0.0202567404333654
"388","EYE_16",94,"NS",0.0292994853234678
"389","EYE_16",95,"NS",0.0261042847541286
"390","EYE_16",96,"NS",0.029994646208718
"391","EYE_16",97,"NS",0.0232100024767844
"392","EYE_16",98,"NS",0.00488874980525021
"393","EYE_16",99,"NS",0.0404546500762535
"394","EYE_16",100,"NS",-0.025642185066907
"395","EYE_16",101,"V6",-0.0177158883800598
"396","EYE_16",102,"V6",0.0401715869033634
"397","EYE_16",103,"V6",0.00466938636385009
"398","EYE_16",104,"V6",0.0222594317545155
"399","EYE_16",105,"V6",-0.00151676423553386
"400","EYE_16",106,"V6",-0.00726226804670171
"401","EYE_16",107,"V6",-0.0446328996080924
"402","EYE_16",108,"V6",0.00799613064881175
"403","EYE_16",109,"V6",0.0305583824131595
"404","EYE_16",110,"V6",-0.0694348532000094
"405","EYE_16",111,"V6",-0.0415505096324806
"406","EYE_16",112,"V6",-0.0318803941101835
"407","EYE_16",113,"V6",-0.0511626130554167
"408","EYE_16",114,"V6",-0.0353137007468259
"409","EYE_16",115,"V6",-0.0606818304926613
"410","EYE_16",116,"V6",-0.00440618565894915
"411","EYE_16",118,"V6",-0.0304407828086558
"412","EYE_16",119,"V6",-0.0417755693003282
"413","EYE_16",120,"V6",0.00389634147969173
"414","EYE_16",121,"V6",-0.0617377887834069
"415","EYE_16",122,"V6",-0.0477477517626677
"416","EYE_16",123,"V6",-0.0445604276042232
"417","EYE_16",124,"V6",-0.0546270242068065
"418","EYE_16",125,"V6",0.00991616130647721
"419","EYE_16",126,"V6",-0.021916869858457
"420","EYE_16",127,"V6",0.0141283891593102
"421","EYE_16",128,"V6",-0.0403275825753619
"422","EYE_16",129,"V6",-0.0546699668355925
"423","EYE_16",130,"V6",-0.0260920965358127
"424","EYE_16",131,"V6",-0.00423999583661657
"425","EYE_16",132,"V6",-0.017022760665505
"426","EYE_16",133,"NS",-0.0372493831443637
"427","EYE_16",134,"NS",-0.0308711534372947
"428","EYE_16",135,"NS",0.0409336044744108
"429","EYE_16",136,"NS",-0.0264770742532158
"430","EYE_16",137,"NS",-0.00209427120863442
"431","EYE_16",138,"NS",0.0145452694253559
"432","EYE_16",139,"NS",-0.0280067494306686
"433","EYE_16",140,"NS",0.0239210419342706
"434","EYE_16",141,"NS",0.0795114366728584
"435","EYE_16",142,"NS",-0.048203489149767
"436","EYE_16",143,"NS",-0.0101987228780531
"437","EYE_16",144,"NS",0.0257983007246644
"438","EYE_16",145,"NS",-0.020650531990657
"439","EYE_16",146,"NS",-0.0255616437195252
"440","EYE_16",147,"NS",0.0399960623156133
"441","EYE_16",148,"NS",0.00606464273783284
"442","EYE_16",149,"NS",0.0231150943014141
"443","EYE_16",150,"NS",-0.0111507777275585
"444","EYE_16",151,"NS",0.0224070423055288
"445","EYE_16",152,"NS",-0.0306416685753655
"446","EYE_16",153,"NS",0.074083030875648
"447","EYE_16",154,"NS",-0.00769497205067773
"448","EYE_16",155,"NS",0.0236991739574225
"449","EYE_16",156,"NS",-8.08286243183473e-05
"450","EYE_16",157,"NS",-0.00171175574493841
"451","EYE_16",158,"NS",0.00952087125575769
"452","EYE_16",159,"NS",0.0257336674087751
"453","EYE_16",160,"NS",0.10736585550274
"454","EYE_16",161,"NS",0.0319137855584357
"455","EYE_16",162,"NS",0.0125396647317133
"456","EYE_16",163,"NS",-0.050495847403175
"457","EYE_16",164,"NS",-0.0356234500311806
"458","EYE_16",165,"V6",-0.0347524837034049
"459","EYE_16",166,"V6",-0.00699950348845047
"460","EYE_16",167,"V6",-0.0495023649911808
"461","EYE_16",168,"V6",-0.0104923368819628
"462","EYE_16",169,"V6",-0.0080811233288549
"463","EYE_16",170,"V6",0.0145519143067638
"464","EYE_16",171,"V6",-0.0227151765085223
"465","EYE_16",172,"V6",-0.00762959811344992
"466","EYE_16",174,"V6",-0.0327172749264634
"467","EYE_16",175,"V6",-0.0373463792783444
"468","EYE_16",176,"V6",-0.0509974403435932
"469","EYE_16",177,"V6",-0.0160661386361531
"470","EYE_16",178,"V6",-0.0705408719392823
"471","EYE_16",179,"V6",0.0456915787358263
"472","EYE_16",180,"V6",-0.00448244332928025
"473","EYE_16",181,"V6",0.00828098124574446
"474","EYE_16",182,"V6",-0.0116834298261139
"475","EYE_16",183,"V6",-0.00869821076265944
"476","EYE_16",184,"V6",-0.00848040608149155
"477","EYE_16",185,"V6",-0.0295894007169487
"478","EYE_16",186,"V6",0.0299883061733764
"479","EYE_16",187,"V6",-0.0431328878887012
"480","EYE_16",188,"V6",0.0240749578825978
"481","EYE_16",189,"V6",0.0175411485477528
"482","EYE_16",190,"V6",-0.0362857343669413
"483","EYE_16",191,"V6",-0.0651448412824248
"484","EYE_16",192,"V6",0.056332982484929
"485","EYE_16",193,"V6",-0.0179649912588649
"486","EYE_16",194,"V6",-0.00844886375285329
"487","EYE_16",195,"V6",-0.0400333466159768
"488","EYE_16",196,"V6",-0.0038142694805176
"489","EYE_32",5,"NS",0.00359464758595706
"490","EYE_32",6,"NS",0.00068930176998943
"491","EYE_32",7,"NS",0.0458112289715298
"492","EYE_32",8,"NS",-0.027630034311451
"493","EYE_32",9,"NS",-0.00727993252116737
"494","EYE_32",10,"NS",-0.00099447879574811
"495","EYE_32",11,"NS",-0.00955759015699975
"496","EYE_32",12,"NS",0.0192702533974809
"497","EYE_32",13,"NS",-0.0601325900931717
"498","EYE_32",14,"NS",-0.00361396106537787
"499","EYE_32",15,"NS",0.0790024730036618
"500","EYE_32",16,"NS",0.0402716784958228
"501","EYE_32",17,"NS",0.00879293922887736
"502","EYE_32",18,"NS",0.123640722863756
"503","EYE_32",19,"NS",-0.0417847793050955
"504","EYE_32",20,"NS",0.0187315506316099
"505","EYE_32",21,"NS",-0.0246556344037692
"506","EYE_32",22,"NS",-0.0467980119234694
"507","EYE_32",23,"NS",-0.0422448629228118
"508","EYE_32",24,"NS",0.075026858149212
"509","EYE_32",25,"NS",0.036042013408516
"510","EYE_32",26,"NS",-0.0133329362717393
"511","EYE_32",27,"NS",0.0149170992264398
"512","EYE_32",28,"NS",-0.0934970604950734
"513","EYE_32",29,"NS",-0.063034810082142
"514","EYE_32",30,"NS",-0.0338788972317006
